algorithm_name,env_n,size,best_solution,H,states,time
SA,7,10,"[4, 7, 3, 0, 2, 5, 1, 9, 4, 8]",1,2758,0.011717187997419387
GA,7,10,"[2, 0, 8, 1, 3, 6, 9, 1, 5, 4]",3,5000,0.2578854550010874
random,8,10,"[2, 6, 8, 3, 7, 9, 1, 8, 5, 3]",3,5000,0.03186316699793679
HC,8,10,"[1, 5, 6, 2, 9, 7, 4, 0, 3, 8]",2,541,0.0019629119997262023
SA,8,10,"[2, 9, 7, 1, 3, 8, 6, 4, 0, 5]",0,2617,0.011115484001493314
GA,8,10,"[0, 3, 9, 7, 1, 6, 2, 5, 1, 4]",2,5000,0.25818907400025637
random,9,10,"[8, 8, 2, 9, 6, 3, 7, 0, 7, 5]",3,5000,0.031723895997856744
HC,9,10,"[2, 9, 1, 6, 0, 2, 0, 5, 8, 4]",2,541,0.0019510550009727012
SA,9,10,"[0, 3, 9, 6, 8, 2, 4, 1, 7, 5]",0,1771,0.007438175998686347
GA,9,10,"[4, 8, 0, 5, 7, 5, 1, 6, 9, 2]",2,5000,0.26137447700239136
random,10,10,"[7, 4, 1, 9, 2, 6, 7, 3, 5, 0]",3,5000,0.03178533299796982
HC,10,10,"[2, 2, 6, 1, 9, 0, 3, 7, 4, 8]",1,631,0.002260108998598298
SA,10,10,"[9, 5, 3, 0, 6, 8, 1, 7, 4, 2]",0,2550,0.010812817999976687
GA,10,10,"[1, 5, 2, 6, 9, 0, 8, 3, 9, 7]",2,5000,0.25425548199928016
random,11,10,"[9, 4, 0, 5, 3, 7, 7, 3, 8, 2]",3,5000,0.03201062500011176
HC,11,10,"[5, 0, 4, 1, 7, 9, 3, 2, 8, 1]",2,631,0.002254009999887785
SA,11,10,"[2, 5, 9, 4, 1, 8, 6, 3, 0, 7]",0,1991,0.00840444099958404
GA,11,10,"[5, 3, 9, 7, 2, 6, 1, 6, 4, 0]",2,5000,0.2555043559987098
random,12,10,"[9, 9, 2, 0, 8, 6, 4, 1, 7, 5]",2,5000,0.03156177500204649
HC,12,10,"[9, 1, 8, 5, 0, 6, 0, 5, 7, 4]",2,361,0.0012817899987567216
SA,12,10,"[1, 9, 7, 2, 6, 3, 0, 4, 8, 5]",1,2758,0.011738358996808529
GA,12,10,"[7, 5, 4, 6, 0, 2, 4, 1, 3, 8]",3,5000,0.25984680900000967
random,13,10,"[6, 9, 5, 2, 7, 3, 8, 8, 1, 4]",2,5000,0.03164144699985627
HC,13,10,"[4, 4, 9, 0, 6, 3, 7, 2, 1, 8]",2,451,0.001619528997252928
SA,13,10,"[5, 8, 4, 7, 0, 3, 1, 6, 9, 2]",0,2574,0.010909412998444168
GA,13,10,"[0, 7, 1, 8, 2, 9, 3, 6, 4, 1]",2,5000,0.2528266570006963
random,14,10,"[4, 8, 0, 3, 0, 7, 5, 1, 9, 6]",2,5000,0.031658034000429325
HC,14,10,"[1, 9, 7, 3, 0, 2, 5, 1, 6, 4]",1,541,0.0019274539990874473
SA,14,10,"[5, 8, 4, 9, 0, 2, 6, 1, 3, 7]",1,2758,0.011900444002094446
GA,14,10,"[8, 0, 3, 6, 2, 9, 7, 0, 4, 1]",2,5000,0.24526849899848457
random,15,10,"[9, 2, 6, 1, 0, 8, 6, 4, 7, 3]",3,5000,0.03151520699975663
HC,15,10,"[4, 0, 8, 0, 7, 3, 6, 9, 1, 5]",1,541,0.0018990039970958605
SA,15,10,"[1, 5, 2, 6, 9, 7, 4, 0, 3, 8]",0,1823,0.007675271997868549
GA,15,10,"[3, 5, 0, 9, 1, 6, 2, 6, 1, 7]",3,5000,0.24284468699988793
random,16,10,"[4, 9, 1, 5, 2, 0, 6, 8, 1, 3]",2,5000,0.031723033000162104
HC,16,10,"[6, 1, 7, 0, 8, 3, 9, 0, 2, 4]",1,631,0.0022768960006942507
SA,16,10,"[4, 1, 8, 5, 2, 6, 9, 0, 7, 3]",1,2758,0.011612190999585437
GA,16,10,"[2, 2, 6, 9, 4, 0, 1, 3, 5, 8]",3,5000,0.2581379729999753
random,17,10,"[5, 9, 1, 4, 8, 8, 3, 9, 6, 0]",3,5000,0.031644869999581715
HC,17,10,"[3, 6, 9, 7, 4, 2, 8, 5, 1, 0]",2,541,0.0019194099986634683
SA,17,10,"[6, 1, 7, 0, 8, 3, 5, 9, 2, 4]",0,2068,0.008719844001461752
GA,17,10,"[3, 9, 3, 5, 8, 2, 0, 6, 1, 4]",2,5000,0.2501750150004227
random,18,10,"[3, 0, 6, 9, 2, 8, 1, 4, 2, 5]",2,5000,0.03207287300028838
HC,18,10,"[6, 1, 7, 5, 3, 0, 9, 4, 2, 7]",1,451,0.0015919319994281977
SA,18,10,"[9, 7, 4, 1, 3, 0, 6, 8, 2, 5]",0,2245,0.009470359000260942
GA,18,10,"[7, 1, 6, 9, 1, 4, 0, 9, 3, 5]",2,5000,0.2691253240009246
